127.0.0.1 - - [04/Mar/2018:14:33:48 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:33:51 +0530] "GET /frontend/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:34:55 +0530] "GET /frontend/contactus HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:42:33 +0530] "GET /frontend/reg HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:42:38 +0530] "GET /frontend/reg HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:43:30 +0530] "GET /frontend/reg HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:43:35 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:44:06 +0530] "GET /frontend/reg HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:44:08 +0530] "GET /frontend/reg HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:45:03 +0530] "GET /frontend/reg HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:45:47 +0530] "GET /frontend/reg HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:46:06 +0530] "GET /frontend/reg HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:46:18 +0530] "GET /frontend/reg HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:50:35 +0530] "GET /frontend/reg HTTP/1.1" 200 1438
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:50:50 +0530] "GET /frontend/reg HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:50:51 +0530] "GET /frontend/reg HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:50:52 +0530] "GET /frontend/reg HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:51:55 +0530] "GET /frontend/reg HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:52:08 +0530] "GET /frontend/reg HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:52:10 +0530] "GET /frontend/reg HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:52:11 +0530] "GET /frontend/reg HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:52:25 +0530] "GET /frontend/reg HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:52:35 +0530] "GET /frontend/reg HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:55:34 +0530] "GET /frontend/reg HTTP/1.1" 200 1853
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:56:00 +0530] "GET /frontend/reg HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:56:30 +0530] "GET /frontend/reg HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:57:35 +0530] "GET /frontend/reg HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [04/Mar/2018:15:01:31 +0530] "GET /frontend/reg HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [04/Mar/2018:15:04:40 +0530] "GET /frontend/reg HTTP/1.1" 200 1981
0:0:0:0:0:0:0:1 - - [04/Mar/2018:15:08:00 +0530] "GET /frontend/reg HTTP/1.1" 500 6612
0:0:0:0:0:0:0:1 - - [04/Mar/2018:15:08:43 +0530] "GET /frontend/reg HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [04/Mar/2018:15:09:30 +0530] "GET /frontend/reg HTTP/1.1" 200 2435
0:0:0:0:0:0:0:1 - - [04/Mar/2018:15:09:43 +0530] "GET /frontend/reg HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [04/Mar/2018:15:09:51 +0530] "GET /frontend/reg HTTP/1.1" 200 2435
0:0:0:0:0:0:0:1 - - [04/Mar/2018:15:26:37 +0530] "GET /frontend/reg HTTP/1.1" 200 2428
0:0:0:0:0:0:0:1 - - [04/Mar/2018:15:27:24 +0530] "POST /frontend/signup HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [04/Mar/2018:15:28:56 +0530] "GET /frontend/reg HTTP/1.1" 200 2428
0:0:0:0:0:0:0:1 - - [04/Mar/2018:15:29:41 +0530] "POST /frontend/signup HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [04/Mar/2018:15:41:39 +0530] "GET /frontend/signup HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2018:15:41:39 +0530] "GET /frontend/reg HTTP/1.1" 200 2428
